text,sentiment
@CHAEMINLE masuk akal... boleh jugaaa,positive
@valuidation seenggaknya ini lebih masuk akal ketimbang makan spageti dengan tempe orek gak sih Nael (ada nasinya sih)... kali ini spagetinya gak aku patahin lhooo 😿,positive
"harusnya menkeu lebih paham ya soal keuangan terus anggaran MBG yg sangatttt tidak masuk akal, apalg pas liat wujud makananya kaya gimana🤣 disuruh makan juga ogah",negative
https://t.co/aLn3SHwcK0,neutral
"@s1bayy @pete_rizzo_ Ya, klaim itu masuk akal karena Satoshi aktif mengembangkan Bitcoin pada akhir 2008, dengan email pada 10 Desember dan rilis kode pada Januari 2009. Namun, tidak ada catatan publik spesifik untuk 25 Desember 2008.",positive
"Judgement oleh Hakim point by point yg sedang dibacakan didalam Court sejak 10.30am tadi.

As expected, pembelaan dan alasan yg digunapakai oleh Najib melalui peguamnya Shafee adalah mengarut dan langsung tak masuk akal. Sekali lagi Shafee GAGAL membela dengan baik. Satgi masa presscon, confirm dia akan meroyan dan blame everybody else EXCEPT Najib. Gerenti, Shafee akan playvictim. Dah boleh baca dah.

Boleh baca kat bawah ni.. 
Tak reti English? Lenkali gi belajar.

Alhamdulillah. 
Semoga Najib dijatuhkan hukuman yg berat.",neutral
"Judge Collin Sequerah has begun delivering his verdict. #1MDB 

- so far, has found the four abuse of charges were not faulty and that Najib was not prejudiced in the trial 
- multiple witnesses described Low as close to Najib who gave directions to 1MDB officials on his behalf",neutral
1MDB,neutral
@BosPurwa HRS makin terdengar lebih masuk akal.,positive
"WTS
Want to sell VIP B Day 1 Pulse On (Treasure) - Allo Bank Presale

✅️ Secured jam 10.09
✅️ Dapet raffle send off dari Allo Bank
✅️ Harga masuk akal
✅️ Videocall/cod di Bekasi/Jakarta/Venue
✅️ Dp/cicilan
✅️ No scam, bs kasih proof
✅️ Terima beres, diurus sampai wb",neutral
@befwree ini relate banget sih,positive
"gua sering mikir, dan anehnya makin dipikir makin masuk akal, kalau sebenernya ini tuh dunia gua. dunia gua yang gua jalanin tiap hari, dunia gua yang gua bangunin pas bangun tidur, dunia gua yang gua rasain capeknya, senengnya, kosongnya. bukan karena gua ngerasa paling penting di dunia ini, tapi karena keberadaan gua sendiri udah cukup buat bikin ini jadi dunia gua. dunia ini tau, atau setidaknya keliatan sadar, kalau selama gua masih ada di sini, dunia gua masih berlaku.

soalnya logikanya gini aja: kalau suatu hari gua gak ada, ya ini otomatis berhenti jadi dunia gua. dunia gua gak bisa jalan tanpa gua. dunia gua cuma ada kalau gua ada. tapi sekarang gimana? sekarang gua ada. gua masih hidup di dunia gua, masih jalan di dunia gua, masih mikir hal2 gak penting di dunia gua, masih ngerasain capek, seneng, kecewa, overthinking, semua itu kejadian di dunia gua.

selama gua ada, dunia gua muter dari sudut pandang gua. apa yang gua liat, apa yang gua rasain, apa yang gua pikirin, semuanya ngebentuk dunia gua. mau dunia lain bilang apa, mau orang lain nganggep apa, itu urusan dunia mereka. dunia gua tetep dunia gua. karena faktanya gak ribet: selama gua masih napas, masih sadar, masih mikir, ini dunia gua.

dan selama gua belum pergi, selama gua masih ada di sini, dunia ini gak bisa pura2 jadi bukan dunia gua. mau dibantah kayak apa pun, mau dipelintir kayak apa pun, ujung-ujungnya tetep sama. karena gua ada, maka ini dunia gua. titik.",neutral
"@rainy_snowflake @rhazora_ @frranbow @bu_wang_xian05 Anjay, leuwih masuk akal. Wkwk",positive
