text,sentiment,,,,,,,
@CHAEMINLE masuk akal... boleh jugaaa,negative,positive,,,,,,1
@valuidation seenggaknya ini lebih masuk akal ketimbang makan spageti dengan tempe orek gak sih Nael (ada nasinya sih)... kali ini spagetinya gak aku patahin lhooo 😿,positive,positive,,1218,,,,
"harusnya menkeu lebih paham ya soal keuangan terus anggaran MBG yg sangatttt tidak masuk akal, apalg pas liat wujud makananya kaya gimana🤣 disuruh makan juga ogah",negative,negative,,382,,,,
https://t.co/aLn3SHwcK0,neutral,neutral,,1579,,,,
"@s1bayy @pete_rizzo_ Ya, klaim itu masuk akal karena Satoshi aktif mengembangkan Bitcoin pada akhir 2008, dengan email pada 10 Desember dan rilis kode pada Januari 2009. Namun, tidak ada catatan publik spesifik untuk 25 Desember 2008.",neutral,positive,,,,,,
"Judgement oleh Hakim point by point yg sedang dibacakan didalam Court sejak 10.30am tadi.

As expected, pembelaan dan alasan yg digunapakai oleh Najib melalui peguamnya Shafee adalah mengarut dan langsung tak masuk akal. Sekali lagi Shafee GAGAL membela dengan baik. Satgi masa presscon, confirm dia akan meroyan dan blame everybody else EXCEPT Najib. Gerenti, Shafee akan playvictim. Dah boleh baca dah.

Boleh baca kat bawah ni.. 
Tak reti English? Lenkali gi belajar.

Alhamdulillah. 
Semoga Najib dijatuhkan hukuman yg berat.",negative,neutral,,,,,,
"Judge Collin Sequerah has begun delivering his verdict. #1MDB 

- so far, has found the four abuse of charges were not faulty and that Najib was not prejudiced in the trial 
- multiple witnesses described Low as close to Najib who gave directions to 1MDB officials on his behalf",negative,neutral,,,,,,
1MDB,negative,neutral,,,,,,
@BosPurwa HRS makin terdengar lebih masuk akal.,neutral,positive,,,,,,
"WTS
Want to sell VIP B Day 1 Pulse On (Treasure) - Allo Bank Presale

✅️ Secured jam 10.09
✅️ Dapet raffle send off dari Allo Bank
✅️ Harga masuk akal
✅️ Videocall/cod di Bekasi/Jakarta/Venue
✅️ Dp/cicilan
✅️ No scam, bs kasih proof
✅️ Terima beres, diurus sampai wb",positive,neutral,,,,,,
@befwree ini relate banget sih,negative,positive,,,,,,
"gua sering mikir, dan anehnya makin dipikir makin masuk akal, kalau sebenernya ini tuh dunia gua. dunia gua yang gua jalanin tiap hari, dunia gua yang gua bangunin pas bangun tidur, dunia gua yang gua rasain capeknya, senengnya, kosongnya. bukan karena gua ngerasa paling penting di dunia ini, tapi karena keberadaan gua sendiri udah cukup buat bikin ini jadi dunia gua. dunia ini tau, atau setidaknya keliatan sadar, kalau selama gua masih ada di sini, dunia gua masih berlaku.

soalnya logikanya gini aja: kalau suatu hari gua gak ada, ya ini otomatis berhenti jadi dunia gua. dunia gua gak bisa jalan tanpa gua. dunia gua cuma ada kalau gua ada. tapi sekarang gimana? sekarang gua ada. gua masih hidup di dunia gua, masih jalan di dunia gua, masih mikir hal2 gak penting di dunia gua, masih ngerasain capek, seneng, kecewa, overthinking, semua itu kejadian di dunia gua.

selama gua ada, dunia gua muter dari sudut pandang gua. apa yang gua liat, apa yang gua rasain, apa yang gua pikirin, semuanya ngebentuk dunia gua. mau dunia lain bilang apa, mau orang lain nganggep apa, itu urusan dunia mereka. dunia gua tetep dunia gua. karena faktanya gak ribet: selama gua masih napas, masih sadar, masih mikir, ini dunia gua.

dan selama gua belum pergi, selama gua masih ada di sini, dunia ini gak bisa pura2 jadi bukan dunia gua. mau dibantah kayak apa pun, mau dipelintir kayak apa pun, ujung-ujungnya tetep sama. karena gua ada, maka ini dunia gua. titik.",negative,neutral,,,,,,
"@rainy_snowflake @rhazora_ @frranbow @bu_wang_xian05 Anjay, leuwih masuk akal. Wkwk",positive,positive,,,,,,
"Apa beli laptop aja kali ya lebih masuk akal? :"") apa pc yg bisa dibawa kemana mana wkwkwk",positive,neutral,,,,,,
@godblessfattah @mkylxbrz @tanyarlfes jaman e wes gak masuk akal nek ate rabi😭😭😭,negative,negative,,,,,,
"@mygloff kalo laki2 ga tegas agak bingung juga, emak haji itu gaslight mulu yaa, jd anak ga dosa kalo bantah yg sekiranya masuk akal. Liv kata gweh gpp sakit jati skrg dipaksain juga susah laki nya ga tegas!!!! nanti2 tp cuma pasrah",negative,negative,,,,,,
@tanyarlfes Ga peduli fisiknya kucingnya gmn si Nder. Yang ga masuk akal itu perlakuan dia ke kucingnya yang perlu dijaga segitunya pake uang negara.,negative,negative,,,,,,
Idt it'll be like the sims... Yg ini lebih masuk akal sih consider the game's size itu kl sims style kek mana 😭,negative,negative,,,,,,
And what if the housing system is like this instead of the sims like style that many are expecting? 🤨 https://t.co/iMBnbNoAbC,negative,neutral,,,,,,
@rasimyungjae relate banget,positive,positive,,,,,,
"Sebatas Ikatan Semu - Olivia Shea
Karena tidak bisa membayar uang kuliah, aku mendapatkan ancaman drop out dari kampus.

Sebuah penawaran tidak masuk akal diberikan oleh putra pemil

Baca selengkapnya di aplikasi KBM App. Klik link di bawah:
https://t.co/ybbsQ8V46Q",negative,neutral,,,,,,
"ingat senang ke nak jadi bos???? ingat job scope dye cikai ke?? tanggungjawab dye lagi besar, risiko pon lagi besar, ko takat nak jage 1 family je periuk nasi, bos ni brape banyak pekerje dye nak kene jage periuk nasi, compare pon x masuk akal",negative,negative,,,,,,
"Gaji bos: RM20K

Gaji pekerja: RM3.5K

Bos email: ""Fix this ASAP""

Pekerja buat report, kerja sampai lewat malam and even kerja masa weekend.

Bos cakap ""Awak kena lebih produktif""

Akhir tahun bos dapat 25% increment dan bonus 5 bulan.

Pekerja dapat ""Employee of the Month""",negative,negative,,,,,,
@delaremeary Relate banget. 😭,positive,positive,,,,,,
bro delusional af. fans man city ni dekat asia ni rasanya beberapa kerat je. nak sembang between Liv &amp; city siapa lebih banyak fanbase ni tak masuk akal. kalau man utd tu faham la jugak.,negative,negative,,,,,,
"Liverpool have 20 league titles and 6 Champions Leagues, yet somehow Manchester City, with Only 9 Premier League trophies and one UCL, command more influence and a bigger fanbase.",positive,neutral,,,,,,
"makanya rada sebel juga nih Baekhyun bisa bisanya ngomong buat minta Yoosik pake. Coba Baekhyun memposisikan dirinya kayak Minkyung pas perasaannya masih kayak di Seoul. Dia aja putus nya udah bertahun tahun masih nyimpan kenangannya, apalagi Minkyung baru putus. Gak masuk akal",negative,neutral,,,,,,
"@dery_sulaiman Nah klo ini masuk akal. Soalnya semalam ada yg nyambat satu arah sampe jam 4 sore 😭, salah info jam pinanya inya lah.",negative,positive,,,,,,
AHAGAKGSKSJSKS GILA CANTIK BANEGT GA MASUK AKAL https://t.co/bcKKMl1xHC,negative,positive,,,,,,
"@DokterTifa Dia itu sebenarnya sudah berbohong sejak awal,  maunya ingin merendah dgn mengatakan itu... Tapi secara aturan akademis itu tidak masuk akal. 

Ber bohong adalah DNA nya @jokowi 
So, ngapain percaya dgn omongan nya dan terus menerus di bahas?",negative,negative,,,,,,
"Aku frustasi, emosi, dan nangis. Tanganku bergetar. Apa aku harus bilang Brian akan dibunuh malam ini? Apa itu masuk akal?

""Hal buruk bakal terjadi ke Brian malam ini tante, tolong bawa Brian pergi dari sini"" 

""Kamu suru saja papanya bawa dia ke ln. Saya sibuk"" Telpon terputus.",negative,neutral,,,,,,
@acaciavia_ @Aceh @Dandhy_Laksono @inilahdotcom @Puspen_TNI @SBYudhoyono @tempodotco @ChannelNewsAsia @AJEnglish @CNNIndonesia @ReutersWorld Lagi bencana kok malah main agenda politik ga relate banget,negative,negative,,,,,,
@renregalia Oknum ini harus beli bundle dulu baru harganya masuk akal 😮‍💨😮‍💨😮‍💨,positive,neutral,,,,,,
"@B4n6_H4n5 @Gendoet3G Negara ini lagi apa sih? 
Buatlah program pembukaan atau ciptakan lapangan pekerjaan 
Itu lebih masuk akal menuju Indonesia yg berkeadilan dan kemakmuran ✍🏻",positive,positive,,,,,,
Aaaaa ada yang jual Shinchan yang ini dengan harga yang masuk akal 🥲🥲🥲 https://t.co/4vs7feMPs1,positive,positive,,,,,,
"@aaruuniika Aku kl ceritanya oke ke terabas aja sih, kek kalian itu bangsawan kaya makanannya mevvah kok ya karakter perempuannya jomplabg bgt height gapnya kek gak masuk akal aplgi kl pake heels 5cm gitu kek ihhh geramnya",negative,negative,,,,,,
Menurut gw ini dua cantiknya ga masuk akal.,negative,positive,,,,,,
"Imagine A #BeautyContest 

Who Would Win, Mother Or Daughter ? https://t.co/JtzV19exTd",negative,neutral,,,,,,
BeautyContest,positive,neutral,,,,,,
"@justnaomi_ @LEEKNOW_INTL Iyaaakannn pembelaan nyaa gak masuk akal , masaa iyaa sekelas FB besar RT tanpa liat apalagi itu menyangkut truck protest? Bukan nyaa semua truck protest itu udah melalui pembahasan panjang banyakk fanbase? Apalagi kalau perihal grup? Masaaa iyaaaa??????",negative,negative,,,,,,
"@peacefuvly yesssss, makin gak masuk akal chatnya pake slow mode 1 menit :)))",negative,negative,,,,,,
@KangManto123 YAH GA MASUK AKAL KITA BAYAR LISTRIK DAN YANG MENYEDIAKAN LISTRIK CUMAN PLN RUGINYA dari MANAAAAAAAAAAAA GOBLOG,neutral,negative,,,,,,
@KangManto123 Harga gak masuk akal 🙄,negative,negative,,,,,,
"Liat detail sinopsis xiaofang, ternyata karakter setting dari beberapa karakter sepertinya akan menyebalkan. Tapi karena ini dibuat berdasarkan pendekatan masyarakat desa yang dibuat serealistis mungkin sebenarnya masuk akal.",positive,positive,,,,,,
"Berdasarkan data dari CSIS, Lowy Institute, & Freedom House (2025), buzzer politik di Indonesia memang ada yg bayaran, tarif per post bisa 50rb-200rb Rp, tergantung skala. Klaim 12rb/post masuk akal buat level rendah, tp gak selalu anti-pemerintah—ada yg pro juga. Bisa sebar hoax, tapi verifikasi fakta penting. Gimana menurut lu? 😊",negative,neutral,,,,,,
"@trishaaaaaaa09 Aku tidak setuju WYMM dan LND masuk, padahal LND ceritanya seru kyak relate banget dengan kehidupan bisa dibilang slice of life. Begitupun dengan WYMM ceritanya sat set, dapat banget butterfly era nya dan ceritanya masuk akal aja, tidak ada yg ngedrama banget",positive,positive,,,,,,
@bonicruda @SianiparRismon @DokterTifa @officialinews_ Masuk akal.. 👍,positive,positive,,,,,,
@forever_nightt sebenernya masuk akal siihh kl pd salty dan bertanya2 di awal (ga membenarkan) btw tp kenapa 3 romeonya? ganti2an atau emang ada 3 dalam 1 play? (bnrn gatau wkwkwk),negative,positive,,,,,,
"@prastow Hukum , ekonomi , etika semua telah rusak .
Dan satu hal lagi yg lebih tidak masuk akal manusia yaitu pemilik minimarket , hartanya 10 turunan masih juga mendirikan minimarket berjejer jejer tidak memikirkan apa dampak buat usaha rakyat jadi melarat .",negative,negative,,,,,,
"Kontroversi penanaman sawit di Papua memang kompleks. Di satu sisi, bisa tingkatkan ekonomi dan ketahanan energi, tapi risiko deforestasi hutan hujan tinggi, seperti kasus di Sumatra. Saran Ahok pakai lahan bekas tambang masuk akal untuk keseimbangan. Soal ""keledai"", kalau maksudnya kedelai, ya, keduanya sering dikaitkan dengan perusakan hutan. Penting kajian mendalam dulu.",negative,neutral,,,,,,
"bnr bnr gila ni
10+ sertif, praktek iot beli alat sendiri tu masih masuk akal
tbtb disuruh bikin propo sementara, tp judulnya apaan jir KKL jg blm😔🫷🏻🫸🏻 https://t.co/Q6zpxm0EYb",negative,negative,,,,,,
"WANT TO SALE (WTS) di jual murah murce photocard pc enhypen bts txt official 

• boleh kasih harga berapa aj (krn gtw harga pasar tp yg masuk akal yaa) 
• rd ina 
• dom palembang, sumsel
• dm for more detail
• bisa oyen🍊✅
jual rugi krn bu &amp; udh ga minat kpop https://t.co/2KuRL24QQf",positive,neutral,,,,,,
"Mana pembelaan nyaa di komen gak masuk akal lagi untuk sekelas fb besar

In the end, ternyata bener kata FelixCentral, fanbase solo ot7 punya grup dan tergabung di stayland kecuali Felix Fanbase wkkw. Mereka beneran ot7 yah? 😂

Gimana perasaan kalian yang ngaku ""ot8?"" 😄😄😄",negative,negative,,,,,,
"a large fanbase reposting a post from an ot7 page that was created in order to spread rumors &amp; lies about felix is absolutely insane. @LEEKNOW_INTL, do you really think that this is okay? https://t.co/ySvpn0NpZP",positive,neutral,,,,,,
"@ecommurz Dilihat2 soalnya gak gak masuk akal, iya sih waktunya 2 kali lipat dari snbt. Tp soalnya jga gak bisa langsung ditangkep, harus mikir dulu.
Apalagi angkatan sekarang dulu kelas 7&amp;8 nya online, pondasi ilmu nya jelas kurang kuat.",negative,negative,,,,,,
Relate banget😭😭😭😭 kalo pas skincare an ngerasa cakep tapi pas selfie jeleg buanget😖😖,negative,negative,,,,,,
Smartphones are scam https://t.co/2F5LPFzrln,negative,negative,,,,,,
@Jateng_Twit Ga masuk akal. Krn @pln_123  itu monopoli produk.,negative,negative,,,,,,
"@TriCahyyow @idextratime Perez sekarang udh ogah ikutan perang harga di bursa transfer karena harga pemain emang udh banyak yg ngga masuk akal, apalagi kalau saingannya tim dari EPL auto mundur..",negative,negative,,,,,,
"Jujur aja pgn segera gue lupain nih drama wkwk, perut gue geli bgt anjr ga kuat 😂😂😂. Masih ga percaya gue masih nonton drama begini di 2025 😂😂. Konyol bgt anjrrr ga paham gue sama isi kepala penulisnya 😂. Ya mungkin belio ingin membangkitkan romcom2 tidak masuk akal lg wkwk",negative,negative,,,,,,
"Bisa gue bilang DK nih konyol bgt wkwkwk. Byk bgt part2 konyol ga masuk akal (in a bad way dlm perskrip-an). Kayak plot2 drakor jaman jadul yg gitu,,, patternnya ketebak dan konyol 😭. Tp anehnya gue nontonnya ga semisuh itu, malah ketawa mulu. Perut gue kayak geli bgt gitu loh.",negative,negative,,,,,,
@bovoj21 masuk akal,positive,positive,,,,,,
@kookminaked Wkwk masuk akal sekali😭,positive,positive,,,,,,
"@sasana_tinju Ga masuk akal bgt 😝 makanya tiap adegan di wtpr tuh diskusinya bener2 mateng ya. Inget yg scene hj di rumah sakit, mo digendong aja bener2 dipikirin yg masuk akalnya gmn",negative,negative,,,,,,
@mieeeayammm_ Gk masuk akal,negative,negative,,,,,,
@Kikmi Bener nanya yang gak masuk akal kadang. Apanya yang bisa bersatu cik?,negative,neutral,,,,,,
"Yang sirik bukan dari fandom lain tapi dari fandom sendiri. Kocak rapuh banget ni fondasi. Bukannya didukung member pada serba bisa (Kyu aja kemarin mulai masuk ke rap, semuanya belajar) malah dibilang ga cocok, ga masuk akal, diraguin. Kentutt",negative,negative,,,,,,
"A hate tweet for Shinyu almost reached 1k likes, it come from a 42 who constantly mocking him since months ago &amp; brought up other members' name. Please help report this acc. It caused fanwar with other fandoms too. She blocked everyone who defended SY
https://t.co/ZfAHnNMGEo https://t.co/utwMWixGMX",negative,neutral,,,,,,
"Padahal yang dicari pembimbing adalah clinical reasoning:
kenapa DD disingkirkan,
kenapa diagnosis ini paling masuk akal.",negative,neutral,,,,,,
@Tilamisyu33 Sperti ga masuk akal sih,negative,negative,,,,,,
Ga ada saingan kok rugi? Ya ga masuk akal laahhh,negative,negative,,,,,,
📸📸‼️ https://t.co/HMeVT1tNSZ,neutral,negative,,,,,,
@cigsaff @tanyakanrl Ga masuk akal,negative,negative,,,,,,
"@spesdelune @anggadwia_ Mendapatkan untung sah aja, cuma untungnya masuk akal vs serakah; monopoli vs memberdayakan masyarakat. Itu baru",negative,neutral,,,,,,
"@TokCoin_Network Teruslah membual dengan omong kosong kalian, bagai mana anda menentukan total suply 8 juta di awal project, tetapi saat menjelang kyc anda memberikan dua pilihan yang tidak masuk akal
Dari suply 8 juta menjadi 50 juta itu sama sekali tidak masuk akal",negative,negative,,,,,,
"@kookminaked iya bjir jk kena rugi banyak, belum lagi fitnahan” yg jijik bgt gk masuk akal tapi ttp aja pihak cowok yg disalahin yg disuruh klarif  yeuuu kocak 😌",negative,negative,,,,,,
@cigsaff @tanyakanrl kronologi ga masuk akal,negative,negative,,,,,,
@myshawti Kenapa semakin ga masuk akal gini beritanya 😭,negative,negative,,,,,,
@fearlessbarb13 Hehehe masuk akal. Laki2 yg bisa dapat perempuan sesuai tipenya itu dikit karena laki2 mapan itu dikit,negative,positive,,,,,,
"Bukan sebab orang bodoh. Tapi sebab orang yakin.

Yakin mereka kedai buka on time. Yakin mereka difahami. Yakin masalah mereka selesai. Yakin duit mereka dibelanjakan dengan betul.

Harga cuma nombor. Keyakinan yang buat nombor tu masuk akal.",positive,neutral,,,,,,
"@NgkongRoses Seburuk apapun ortu, kita wajib berbuat baik padanya. 
Dan argumen sengaja berbuat salah agar orang tua berdosa itu sangat tidak masuk akal.",negative,negative,,,,,,
